tweet_id	date	retweet	Additive Manufacturing	Artificial Intelligence	CryptoCurrencies	Computing Infrastructure	Digital Health	Internet of Things	Quantum Computing	Robotics	Autonomous Vehicles	Hashtags	lat	lon	Country	Sentiment Score	Sentiment	anger	anticipation	disgust	fear	joy	negative	positive	sadness	surprise	trust	URLs	followers	friends	statuses
1	Mon Oct 15 15:30:32 +0000 2018	0	0	1	0	0	0	0	0	0	0	#quantumcomputer;#Quantum;#quantum	Null	Null	Kerry, Ireland	-0.1531	NEG	0.0	0.0	0.0	0.2	0.0	0.2	0.2	0.2	0.0	0.0	http://ow.ly/dyvC30meybe	253	537	2904
2	Mon Oct 15 14:42:51 +0000 2018	0	0	1	0	0	0	0	0	0	0	#quantumcomputer;#Quantum;#quantum	Null	Null	Rome, Italy	0.0	NEU	0	0	0	0	0	0	0	0	0	0	http://bit.ly/2yAF8qg	429	167	5035
3	Mon Oct 15 12:50:03 +0000 2018	1	0	1	0	0	0	1	0	0	0	#Quantumcomputing;#quantumcomputing;#Quantum;#QuantumComputing;#quantum;Artificial	Null	Null		0.0	NEU	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	None	6631	6314	30313
4	Mon Oct 15 03:12:52 +0000 2018	1	0	0	0	0	0	0	0	0	0		Null	Null	IG @1only1queen	0.0	NEU	0.0	0.2	0.0	0.0	0.0	0.0	0.2	0.0	0.0	0.0	https://buff.ly/2RsO0a9	2351	1081	152077
5	Sun Oct 14 22:13:12 +0000 2018	1	0	1	0	0	0	1	0	1	1	#quantumcomputer;#Quantum;#quantum;#ai;#AI;Artificial;#AI;#Fintech;#fintech;#Robots;#robot	Null	Null	Bad Wildbad, Deutschland	0.0	NEU	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	None	5324	3010	129611
6	Sun Oct 14 22:03:13 +0000 2018	1	0	1	0	0	0	1	0	1	1	#quantumcomputer;#Quantum;#quantum;#ai;#AI;Artificial;#AI;#Fintech;#fintech;#Robots;#robot	Null	Null		0.0	NEU	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	None	39667	7396	38888
7	Sun Oct 14 20:49:02 +0000 2018	1	0	1	0	0	0	1	0	1	1	#quantumcomputer;#Quantum;#quantum;#ai;#AI;Artificial;#AI;#Fintech;#fintech;#Robots;#robot	Null	Null		0.0	NEU	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	None	1338	2563	45163
8	Sun Oct 14 11:00:46 +0000 2018	1	0	1	0	0	0	1	0	1	1	#quantumcomputer;#Quantum;#quantum;#ai;#AI;Artificial;#AI;#Fintech;#fintech;#Robots;#robot	Null	Null	India	0.0	NEU	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	None	2023	1213	141133
9	Sun Oct 14 03:35:03 +0000 2018	1	0	1	0	0	0	1	0	1	1	#quantumcomputer;#Quantum;#quantum;#ai;#AI;Artificial;#AI;#Fintech;#fintech;#Robots;#robot	Null	Null		0.0	NEU	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	None	5773	5633	206437
10	Sun Oct 14 03:33:02 +0000 2018	0	0	1	0	0	0	1	0	1	1	#quantumcomputer;#Quantum;#quantum;#ai;#BigData;#AI;Artificial;#AI;#Fintech;#fintech;#Robots;#robot	Null	Null		0.0	NEU	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	http://bit.ly/2NDS1FJ	39667	7396	38888
